E, G
0.4685,-0.0510928
0.469,-0.0510928
0.4695,-0.0510928
0.47,-0.0510928
0.4705,-0.0510928
0.471,-0.0510927
0.4715,-0.0510927
0.472,-0.0510927
0.4725,-0.0510927
0.473,-0.0510927
0.4735,-0.0510927
0.474,-0.0510927
0.4745,-0.0510927
0.475,-0.0510927
0.4755,-0.0510927
0.476,-0.0510927
0.4765,-0.0510927
0.477,-0.0510927
0.4775,-0.0510927
0.478,-0.0510926
0.4785,-0.0510926
0.479,-0.0510926
0.4795,-0.0510926
0.48,-0.0510926
0.4805,-0.0510926
0.481,-0.0510926
0.4815,-0.0510926
0.482,-0.0510926
0.4825,-0.0510926
0.483,-0.0510926
0.4835,-0.0510926
0.484,-0.0510926
0.4845,-0.0510925
0.485,-0.0510925
0.4855,-0.0510925
0.486,-0.0510925
0.4865,-0.0510925
0.487,-0.0510925
0.4875,-0.0510925
0.488,-0.0510925
0.4885,-0.0510925
0.489,-0.0510925
0.4895,-0.0510925
0.49,-0.0510925
0.4905,-0.0510925
0.491,-0.0510925
0.4915,-0.0510924
0.492,-0.0510924
0.4925,-0.0510924
0.493,-0.0510924
0.4935,-0.0510924
0.494,-0.0510924
0.4945,-0.0510924
0.495,-0.0510924
0.4955,-0.0510924
0.496,-0.0510924
0.4965,-0.0510924
0.497,-0.0510924
0.4975,-0.0510924
0.498,-0.0510923
0.4985,-0.0510923
0.499,-0.0510923
0.4995,-0.0510923
0.5,-0.0510923
0.5005,-0.0510923
0.501,-0.0510923
0.5015,-0.0510923
0.502,-0.0510923
0.5025,-0.0510923
0.503,-0.0510923
0.5035,-0.0510923
0.504,-0.0510923
0.5045,-0.0510923
0.505,-0.0510922
0.5055,-0.0510922
0.506,-0.0510922
0.5065,-0.0510922
0.507,-0.0510922
0.5075,-0.0510922
0.508,-0.0510922
0.5085,-0.0510922
0.509,-0.0510922
0.5095,-0.0510922
0.51,-0.0510922
0.5105,-0.0510922
0.511,-0.0510922
0.5115,-0.0510922
0.512,-0.0510921
0.5125,-0.0510921
0.513,-0.0510921
0.5135,-0.0510921
0.514,-0.0510921
0.5145,-0.0510921
0.515,-0.0510921
0.5155,-0.0510921
0.516,-0.0510921
0.5165,-0.0510921
0.517,-0.0510921
0.5175,-0.0510921
0.518,-0.0510921
0.5185,-0.051092
0.519,-0.051092
0.5195,-0.051092
0.52,-0.051092
0.5205,-0.051092
0.521,-0.051092
0.5215,-0.051092
0.522,-0.051092
0.5225,-0.051092
0.523,-0.051092
0.5235,-0.051092
0.524,-0.051092
0.5245,-0.051092
0.525,-0.051092
0.5255,-0.0510919
0.526,-0.0510919
0.5265,-0.0510919
0.527,-0.0510919
0.5275,-0.0510919
0.528,-0.0510919
0.5285,-0.0510919
0.529,-0.0510919
0.5295,-0.0510919
0.53,-0.0510919
0.5305,-0.0510919
0.531,-0.0510919
0.5315,-0.0510919
0.532,-0.0510918
0.5325,-0.0510918
0.533,-0.0510918
0.5335,-0.0510918
0.534,-0.0510918
0.5345,-0.0510918
0.535,-0.0510918
0.5355,-0.0510918
0.536,-0.0510918
0.5365,-0.0510918
0.537,-0.0510918
0.5375,-0.0510918
0.538,-0.0510918
0.5385,-0.0510918
0.539,-0.0510917
0.5395,-0.0510917
0.54,-0.0510917
0.5405,-0.0510917
0.541,-0.0510917
0.5415,-0.0510917
0.542,-0.0510917
0.5425,-0.0510917
0.543,-0.0510917
0.5435,-0.0510917
0.544,-0.0510917
0.5445,-0.0510917
0.545,-0.0510917
0.5455,-0.0510916
0.546,-0.0510916
0.5465,-0.0510916
0.547,-0.0510916
0.5475,-0.0510916
0.548,-0.0510916
0.5485,-0.0510916
0.549,-0.0510916
0.5495,-0.0510916
0.55,-0.0510916
0.5505,-0.0510916
0.551,-0.0510916
0.5515,-0.0510916
0.552,-0.0510916
0.5525,-0.0510915
0.553,-0.0510915
0.5535,-0.0510915
0.554,-0.0510915
0.5545,-0.0510915
0.555,-0.0510915
0.5555,-0.0510915
0.556,-0.0510915
0.5565,-0.0510915
0.557,-0.0510915
0.5575,-0.0510915
0.558,-0.0510915
0.5585,-0.0510915
0.559,-0.0510914
0.5595,-0.0510914
0.56,-0.0510914
0.5605,-0.0510914
0.561,-0.0510914
0.5615,-0.0510914
0.562,-0.0510914
0.5625,-0.0510914
0.563,-0.0510914
0.5635,-0.0510914
0.564,-0.0510914
0.5645,-0.0510914
0.565,-0.0510914
0.5655,-0.0510914
0.566,-0.0510913
0.5665,-0.0510913
0.567,-0.0510913
0.5675,-0.0510913
0.568,-0.0510913
0.5685,-0.0510913
0.569,-0.0510913
0.5695,-0.0510913
0.57,-0.0510913
0.5705,-0.0510913
0.571,-0.0510913
0.5715,-0.0510913
0.572,-0.0510913
0.5725,-0.0510913
0.573,-0.0510912
0.5735,-0.0510912
0.574,-0.0510912
0.5745,-0.0510912
0.575,-0.0510912
0.5755,-0.0510912
0.576,-0.0510912
0.5765,-0.0510912
0.577,-0.0510912
0.5775,-0.0510912
0.578,-0.0510912
0.5785,-0.0510912
0.579,-0.0510912
0.5795,-0.0510911
0.58,-0.0510911
0.5805,-0.0510911
0.581,-0.0510911
0.5815,-0.0510911
0.582,-0.0510911
